KANWIL;AREA;CABANG;TIPE;ASPEK;ELEMENT;SCORE
KANWIL DENPASAR;AREA DENPASAR;CP KUTA;KONVEN;PENAKSIR;Penaksir;75
KANWIL DENPASAR;AREA DENPASAR;CP KUTA;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;75
KANWIL DENPASAR;AREA DENPASAR;CP KUTA;KONVEN;PENAKSIR;Penampilan Penaksir;66,66666667
KANWIL DENPASAR;AREA DENPASAR;CP KUTA;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;83,33333333
KANWIL DENPASAR;AREA DENPASAR;CP KUTA;KONVEN;PENAKSIR;Skill Penaksir;50
KANWIL DENPASAR;AREA DENPASAR;CP KUTA;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;100
KANWIL DENPASAR;AREA DENPASAR;CP KUTA;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;75
KANWIL DENPASAR;AREA DENPASAR;CP KUTA;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;33,33333333
KANWIL DENPASAR;AREA DOMPU;CP DOMPU;KONVEN;PENAKSIR;Penaksir;70,83333333
KANWIL DENPASAR;AREA DOMPU;CP DOMPU;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;50
KANWIL DENPASAR;AREA DOMPU;CP DOMPU;KONVEN;PENAKSIR;Penampilan Penaksir;83,33333333
KANWIL DENPASAR;AREA DOMPU;CP DOMPU;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;50
KANWIL DENPASAR;AREA DOMPU;CP DOMPU;KONVEN;PENAKSIR;Skill Penaksir;75
KANWIL DENPASAR;AREA DOMPU;CP DOMPU;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;66,66666667
KANWIL DENPASAR;AREA DOMPU;CP DOMPU;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL DENPASAR;AREA DOMPU;CP DOMPU;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;66,66666667
KANWIL DENPASAR;AREA AMPENAN;CP MATARAM;KONVEN;PENAKSIR;Penaksir;81,94444444
KANWIL DENPASAR;AREA AMPENAN;CP MATARAM;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;75
KANWIL DENPASAR;AREA AMPENAN;CP MATARAM;KONVEN;PENAKSIR;Penampilan Penaksir;66,66666667
KANWIL DENPASAR;AREA AMPENAN;CP MATARAM;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;50
KANWIL DENPASAR;AREA AMPENAN;CP MATARAM;KONVEN;PENAKSIR;Skill Penaksir;100
KANWIL DENPASAR;AREA AMPENAN;CP MATARAM;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;100
KANWIL DENPASAR;AREA AMPENAN;CP MATARAM;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL DENPASAR;AREA AMPENAN;CP MATARAM;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;66,66666667
KANWIL DENPASAR;AREA ENDE;CP ENDE;KONVEN;PENAKSIR;Penaksir;81,94444444
KANWIL DENPASAR;AREA ENDE;CP ENDE;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;75
KANWIL DENPASAR;AREA ENDE;CP ENDE;KONVEN;PENAKSIR;Penampilan Penaksir;50
KANWIL DENPASAR;AREA ENDE;CP ENDE;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;66,66666667
KANWIL DENPASAR;AREA ENDE;CP ENDE;KONVEN;PENAKSIR;Skill Penaksir;100
KANWIL DENPASAR;AREA ENDE;CP ENDE;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;100
KANWIL DENPASAR;AREA ENDE;CP ENDE;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL DENPASAR;AREA ENDE;CP ENDE;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;0
KANWIL DENPASAR;AREA ENDE;CP WOLOWONA;KONVEN;PENAKSIR;Penaksir;87,5
KANWIL DENPASAR;AREA ENDE;CP WOLOWONA;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;75
KANWIL DENPASAR;AREA ENDE;CP WOLOWONA;KONVEN;PENAKSIR;Penampilan Penaksir;66,66666667
KANWIL DENPASAR;AREA ENDE;CP WOLOWONA;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;83,33333333
KANWIL DENPASAR;AREA ENDE;CP WOLOWONA;KONVEN;PENAKSIR;Skill Penaksir;100
KANWIL DENPASAR;AREA ENDE;CP WOLOWONA;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;100
KANWIL DENPASAR;AREA ENDE;CP WOLOWONA;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL DENPASAR;AREA ENDE;CP WOLOWONA;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;66,66666667
KANWIL DENPASAR;AREA ENDE;CPS ENDE;SYARIAH;PENAKSIR;Penaksir;84,72222222
KANWIL DENPASAR;AREA ENDE;CPS ENDE;SYARIAH;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;75
KANWIL DENPASAR;AREA ENDE;CPS ENDE;SYARIAH;PENAKSIR;Penampilan Penaksir;66,66666667
KANWIL DENPASAR;AREA ENDE;CPS ENDE;SYARIAH;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;66,66666667
KANWIL DENPASAR;AREA ENDE;CPS ENDE;SYARIAH;PENAKSIR;Skill Penaksir;100
KANWIL DENPASAR;AREA ENDE;CPS ENDE;SYARIAH;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;100
KANWIL DENPASAR;AREA ENDE;CPS ENDE;SYARIAH;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL DENPASAR;AREA ENDE;CPS ENDE;SYARIAH;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;0
KANWIL MAKASAR;AREA PARE-PARE;CPS PANGKAJENE;SYARIAH;PENAKSIR;Penaksir;90,47619048
KANWIL MAKASAR;AREA PARE-PARE;CPS PANGKAJENE;SYARIAH;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;100
KANWIL MAKASAR;AREA PARE-PARE;CPS PANGKAJENE;SYARIAH;PENAKSIR;Penampilan Penaksir;71,42857143
KANWIL MAKASAR;AREA PARE-PARE;CPS PANGKAJENE;SYARIAH;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;71,42857143
KANWIL MAKASAR;AREA PARE-PARE;CPS PANGKAJENE;SYARIAH;PENAKSIR;Skill Penaksir;100
KANWIL MAKASAR;AREA PARE-PARE;CPS PANGKAJENE;SYARIAH;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;100
KANWIL MAKASAR;AREA PARE-PARE;CPS PANGKAJENE;SYARIAH;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL MAKASAR;AREA PARE-PARE;CPS PANGKAJENE;SYARIAH;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;100
KANWIL SEMARANG;AREA TEGAL;CPS PONOLAWEN;SYARIAH;PENAKSIR;Penaksir;97,22222222
KANWIL SEMARANG;AREA TEGAL;CPS PONOLAWEN;SYARIAH;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;100
KANWIL SEMARANG;AREA TEGAL;CPS PONOLAWEN;SYARIAH;PENAKSIR;Penampilan Penaksir;100
KANWIL SEMARANG;AREA TEGAL;CPS PONOLAWEN;SYARIAH;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;83,33333333
KANWIL SEMARANG;AREA TEGAL;CPS PONOLAWEN;SYARIAH;PENAKSIR;Skill Penaksir;100
KANWIL SEMARANG;AREA TEGAL;CPS PONOLAWEN;SYARIAH;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;100
KANWIL SEMARANG;AREA TEGAL;CPS PONOLAWEN;SYARIAH;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL SEMARANG;AREA TEGAL;CPS PONOLAWEN;SYARIAH;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;66,66666667
KANWIL DENPASAR;AREA DENPASAR;CP HARDYS;KONVEN;PENAKSIR;Penaksir;75
KANWIL DENPASAR;AREA DENPASAR;CP HARDYS;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;50
KANWIL DENPASAR;AREA DENPASAR;CP HARDYS;KONVEN;PENAKSIR;Penampilan Penaksir;100
KANWIL DENPASAR;AREA DENPASAR;CP HARDYS;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;33,33333333
KANWIL DENPASAR;AREA DENPASAR;CP HARDYS;KONVEN;PENAKSIR;Skill Penaksir;100
KANWIL DENPASAR;AREA DENPASAR;CP HARDYS;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;66,66666667
KANWIL DENPASAR;AREA DENPASAR;CP HARDYS;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL DENPASAR;AREA DENPASAR;CP HARDYS;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;100
KANWIL DENPASAR;AREA ENDE;CP LABUAN BAJO;KONVEN;PENAKSIR;Penaksir;66,19047619
KANWIL DENPASAR;AREA ENDE;CP LABUAN BAJO;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;40
KANWIL DENPASAR;AREA ENDE;CP LABUAN BAJO;KONVEN;PENAKSIR;Penampilan Penaksir;50
KANWIL DENPASAR;AREA ENDE;CP LABUAN BAJO;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;57,14285714
KANWIL DENPASAR;AREA ENDE;CP LABUAN BAJO;KONVEN;PENAKSIR;Skill Penaksir;100
KANWIL DENPASAR;AREA ENDE;CP LABUAN BAJO;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;75
KANWIL DENPASAR;AREA ENDE;CP LABUAN BAJO;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;75
KANWIL DENPASAR;AREA ENDE;CP LABUAN BAJO;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;66,66666667
KANWIL DENPASAR;AREA DENPASAR;CP RENON;KONVEN;PENAKSIR;Penaksir;95,83333333
KANWIL DENPASAR;AREA DENPASAR;CP RENON;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;100
KANWIL DENPASAR;AREA DENPASAR;CP RENON;KONVEN;PENAKSIR;Penampilan Penaksir;100
KANWIL DENPASAR;AREA DENPASAR;CP RENON;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;100
KANWIL DENPASAR;AREA DENPASAR;CP RENON;KONVEN;PENAKSIR;Skill Penaksir;100
KANWIL DENPASAR;AREA DENPASAR;CP RENON;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;100
KANWIL DENPASAR;AREA DENPASAR;CP RENON;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;75
KANWIL DENPASAR;AREA DENPASAR;CP RENON;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;66,66666667
KANWIL DENPASAR;AREA ENDE;CP WAIKABUBAK;KONVEN;PENAKSIR;Penaksir;56,94444444
KANWIL DENPASAR;AREA ENDE;CP WAIKABUBAK;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;25
KANWIL DENPASAR;AREA ENDE;CP WAIKABUBAK;KONVEN;PENAKSIR;Penampilan Penaksir;66,66666667
KANWIL DENPASAR;AREA ENDE;CP WAIKABUBAK;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;16,66666667
KANWIL DENPASAR;AREA ENDE;CP WAIKABUBAK;KONVEN;PENAKSIR;Skill Penaksir;100
KANWIL DENPASAR;AREA ENDE;CP WAIKABUBAK;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;33,33333333
KANWIL DENPASAR;AREA ENDE;CP WAIKABUBAK;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL DENPASAR;AREA ENDE;CP WAIKABUBAK;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;100
KANWIL DENPASAR;AREA DENPASAR;CP JIMBARAN;KONVEN;PENAKSIR;Penaksir;75
KANWIL DENPASAR;AREA DENPASAR;CP JIMBARAN;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;50
KANWIL DENPASAR;AREA DENPASAR;CP JIMBARAN;KONVEN;PENAKSIR;Penampilan Penaksir;66,66666667
KANWIL DENPASAR;AREA DENPASAR;CP JIMBARAN;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;66,66666667
KANWIL DENPASAR;AREA DENPASAR;CP JIMBARAN;KONVEN;PENAKSIR;Skill Penaksir;100
KANWIL DENPASAR;AREA DENPASAR;CP JIMBARAN;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;66,66666667
KANWIL DENPASAR;AREA DENPASAR;CP JIMBARAN;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL DENPASAR;AREA DENPASAR;CP JIMBARAN;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;0
KANWIL DENPASAR;AREA ENDE;CP WAITABULA;KONVEN;PENAKSIR;Penaksir;76,38888889
KANWIL DENPASAR;AREA ENDE;CP WAITABULA;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;75
KANWIL DENPASAR;AREA ENDE;CP WAITABULA;KONVEN;PENAKSIR;Penampilan Penaksir;66,66666667
KANWIL DENPASAR;AREA ENDE;CP WAITABULA;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;16,66666667
KANWIL DENPASAR;AREA ENDE;CP WAITABULA;KONVEN;PENAKSIR;Skill Penaksir;100
KANWIL DENPASAR;AREA ENDE;CP WAITABULA;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;100
KANWIL DENPASAR;AREA ENDE;CP WAITABULA;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL DENPASAR;AREA ENDE;CP WAITABULA;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;100
KANWIL DENPASAR;AREA ENDE;CP LARANTUKA;KONVEN;PENAKSIR;Penaksir;69,36507937
KANWIL DENPASAR;AREA ENDE;CP LARANTUKA;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;40
KANWIL DENPASAR;AREA ENDE;CP LARANTUKA;KONVEN;PENAKSIR;Penampilan Penaksir;83,33333333
KANWIL DENPASAR;AREA ENDE;CP LARANTUKA;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;42,85714286
KANWIL DENPASAR;AREA ENDE;CP LARANTUKA;KONVEN;PENAKSIR;Skill Penaksir;100
KANWIL DENPASAR;AREA ENDE;CP LARANTUKA;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;50
KANWIL DENPASAR;AREA ENDE;CP LARANTUKA;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL DENPASAR;AREA ENDE;CP LARANTUKA;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;0
KANWIL MAKASAR;AREA BANTAENG;CP WATAMPONE;KONVEN;PENAKSIR;Penaksir;70,55555556
KANWIL MAKASAR;AREA BANTAENG;CP WATAMPONE;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;40
KANWIL MAKASAR;AREA BANTAENG;CP WATAMPONE;KONVEN;PENAKSIR;Penampilan Penaksir;66,66666667
KANWIL MAKASAR;AREA BANTAENG;CP WATAMPONE;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;83,33333333
KANWIL MAKASAR;AREA BANTAENG;CP WATAMPONE;KONVEN;PENAKSIR;Skill Penaksir;100
KANWIL MAKASAR;AREA BANTAENG;CP WATAMPONE;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;33,33333333
KANWIL MAKASAR;AREA BANTAENG;CP WATAMPONE;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL MAKASAR;AREA BANTAENG;CP WATAMPONE;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;66,66666667
KANWIL SURABAYA;AREA MALANG;CP BLIMBING;KONVEN;PENAKSIR;Penaksir;83,57142857
KANWIL SURABAYA;AREA MALANG;CP BLIMBING;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;80
KANWIL SURABAYA;AREA MALANG;CP BLIMBING;KONVEN;PENAKSIR;Penampilan Penaksir;50
KANWIL SURABAYA;AREA MALANG;CP BLIMBING;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;71,42857143
KANWIL SURABAYA;AREA MALANG;CP BLIMBING;KONVEN;PENAKSIR;Skill Penaksir;100
KANWIL SURABAYA;AREA MALANG;CP BLIMBING;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;100
KANWIL SURABAYA;AREA MALANG;CP BLIMBING;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL SURABAYA;AREA MALANG;CP BLIMBING;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;0
KANWIL SURABAYA;AREA MADIUN;CP MADIUN;KONVEN;PENAKSIR;Penaksir;100
KANWIL SURABAYA;AREA MADIUN;CP MADIUN;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;100
KANWIL SURABAYA;AREA MADIUN;CP MADIUN;KONVEN;PENAKSIR;Penampilan Penaksir;100
KANWIL SURABAYA;AREA MADIUN;CP MADIUN;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;100
KANWIL SURABAYA;AREA MADIUN;CP MADIUN;KONVEN;PENAKSIR;Skill Penaksir;100
KANWIL SURABAYA;AREA MADIUN;CP MADIUN;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;100
KANWIL SURABAYA;AREA MADIUN;CP MADIUN;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL SURABAYA;AREA MADIUN;CP MADIUN;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;100
KANWIL SURABAYA;AREA SURABAYA 1;CP WONOKROMO;KONVEN;PENAKSIR;Penaksir;62,5
KANWIL SURABAYA;AREA SURABAYA 1;CP WONOKROMO;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;50
KANWIL SURABAYA;AREA SURABAYA 1;CP WONOKROMO;KONVEN;PENAKSIR;Penampilan Penaksir;66,66666667
KANWIL SURABAYA;AREA SURABAYA 1;CP WONOKROMO;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;50
KANWIL SURABAYA;AREA SURABAYA 1;CP WONOKROMO;KONVEN;PENAKSIR;Skill Penaksir;100
KANWIL SURABAYA;AREA SURABAYA 1;CP WONOKROMO;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;33,33333333
KANWIL SURABAYA;AREA SURABAYA 1;CP WONOKROMO;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;75
KANWIL SURABAYA;AREA SURABAYA 1;CP WONOKROMO;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;0
KANWIL SURABAYA;AREA MALANG;CP KEPANJEN;KONVEN;PENAKSIR;Penaksir;88,88888889
KANWIL SURABAYA;AREA MALANG;CP KEPANJEN;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;100
KANWIL SURABAYA;AREA MALANG;CP KEPANJEN;KONVEN;PENAKSIR;Penampilan Penaksir;66,66666667
KANWIL SURABAYA;AREA MALANG;CP KEPANJEN;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;66,66666667
KANWIL SURABAYA;AREA MALANG;CP KEPANJEN;KONVEN;PENAKSIR;Skill Penaksir;100
KANWIL SURABAYA;AREA MALANG;CP KEPANJEN;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;100
KANWIL SURABAYA;AREA MALANG;CP KEPANJEN;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL SURABAYA;AREA MALANG;CP KEPANJEN;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;0
KANWIL SURABAYA;AREA JEMBER;CP JEMBER;KONVEN;PENAKSIR;Penaksir;93,05555556
KANWIL SURABAYA;AREA JEMBER;CP JEMBER;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;75
KANWIL SURABAYA;AREA JEMBER;CP JEMBER;KONVEN;PENAKSIR;Penampilan Penaksir;100
KANWIL SURABAYA;AREA JEMBER;CP JEMBER;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;83,33333333
KANWIL SURABAYA;AREA JEMBER;CP JEMBER;KONVEN;PENAKSIR;Skill Penaksir;100
KANWIL SURABAYA;AREA JEMBER;CP JEMBER;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;100
KANWIL SURABAYA;AREA JEMBER;CP JEMBER;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL SURABAYA;AREA JEMBER;CP JEMBER;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;0
KANWIL SURABAYA;AREA MADIUN;CP MAGETAN;KONVEN;PENAKSIR;Penaksir;100
KANWIL SURABAYA;AREA MADIUN;CP MAGETAN;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;100
KANWIL SURABAYA;AREA MADIUN;CP MAGETAN;KONVEN;PENAKSIR;Penampilan Penaksir;100
KANWIL SURABAYA;AREA MADIUN;CP MAGETAN;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;100
KANWIL SURABAYA;AREA MADIUN;CP MAGETAN;KONVEN;PENAKSIR;Skill Penaksir;100
KANWIL SURABAYA;AREA MADIUN;CP MAGETAN;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;100
KANWIL SURABAYA;AREA MADIUN;CP MAGETAN;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL SURABAYA;AREA MADIUN;CP MAGETAN;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;66,66666667
KANWIL SURABAYA;AREA MALANG;CP TUREN;KONVEN;PENAKSIR;Penaksir;75
KANWIL SURABAYA;AREA MALANG;CP TUREN;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;50
KANWIL SURABAYA;AREA MALANG;CP TUREN;KONVEN;PENAKSIR;Penampilan Penaksir;83,33333333
KANWIL SURABAYA;AREA MALANG;CP TUREN;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;50
KANWIL SURABAYA;AREA MALANG;CP TUREN;KONVEN;PENAKSIR;Skill Penaksir;100
KANWIL SURABAYA;AREA MALANG;CP TUREN;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;66,66666667
KANWIL SURABAYA;AREA MALANG;CP TUREN;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL SURABAYA;AREA MALANG;CP TUREN;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;100
KANWIL SURABAYA;AREA MALANG;CPS LANDUNGSARI;SYARIAH;PENAKSIR;Penaksir;86,11111111
KANWIL SURABAYA;AREA MALANG;CPS LANDUNGSARI;SYARIAH;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;100
KANWIL SURABAYA;AREA MALANG;CPS LANDUNGSARI;SYARIAH;PENAKSIR;Penampilan Penaksir;50
KANWIL SURABAYA;AREA MALANG;CPS LANDUNGSARI;SYARIAH;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;66,66666667
KANWIL SURABAYA;AREA MALANG;CPS LANDUNGSARI;SYARIAH;PENAKSIR;Skill Penaksir;100
KANWIL SURABAYA;AREA MALANG;CPS LANDUNGSARI;SYARIAH;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;100
KANWIL SURABAYA;AREA MALANG;CPS LANDUNGSARI;SYARIAH;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL SURABAYA;AREA MALANG;CPS LANDUNGSARI;SYARIAH;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;66,66666667
KANWIL DENPASAR;AREA ENDE;CP RUTENG;KONVEN;PENAKSIR;Penaksir;72,14285714
KANWIL DENPASAR;AREA ENDE;CP RUTENG;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;40
KANWIL DENPASAR;AREA ENDE;CP RUTENG;KONVEN;PENAKSIR;Penampilan Penaksir;71,42857143
KANWIL DENPASAR;AREA ENDE;CP RUTENG;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;71,42857143
KANWIL DENPASAR;AREA ENDE;CP RUTENG;KONVEN;PENAKSIR;Skill Penaksir;75
KANWIL DENPASAR;AREA ENDE;CP RUTENG;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;75
KANWIL DENPASAR;AREA ENDE;CP RUTENG;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL DENPASAR;AREA ENDE;CP RUTENG;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;66,66666667
KANWIL SURABAYA;AREA MADIUN;CP NGAWI;KONVEN;PENAKSIR;Penaksir;100
KANWIL SURABAYA;AREA MADIUN;CP NGAWI;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;100
KANWIL SURABAYA;AREA MADIUN;CP NGAWI;KONVEN;PENAKSIR;Penampilan Penaksir;100
KANWIL SURABAYA;AREA MADIUN;CP NGAWI;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;100
KANWIL SURABAYA;AREA MADIUN;CP NGAWI;KONVEN;PENAKSIR;Skill Penaksir;100
KANWIL SURABAYA;AREA MADIUN;CP NGAWI;KONVEN;PENAKSIR;Sikap Penaksir Saat Mengakhiri Pelayanan;100
KANWIL SURABAYA;AREA MADIUN;CP NGAWI;KONVEN;PENAKSIR;Kegiatan Penaksir Lainnya;100
KANWIL SURABAYA;AREA MADIUN;CP NGAWI;KONVEN;FRONTLINER;Sikap Saat Melayani di Telepon & Handling Complaint;66,66666667
KANWIL SURABAYA;AREA SURABAYA 2;CP WIYUNG;KONVEN;PENAKSIR;Penaksir;97,22222222
KANWIL SURABAYA;AREA SURABAYA 2;CP WIYUNG;KONVEN;PENAKSIR;Sikap Penaksir Saat Menyambut Nasabah Datang;100
KANWIL SURABAYA;AREA SURABAYA 2;CP WIYUNG;KONVEN;PENAKSIR;Penampilan Penaksir;100
KANWIL SURABAYA;AREA SURABAYA 2;CP WIYUNG;KONVEN;PENAKSIR;Sikap Penaksir dalam Melayani Nasabah;83,33333333
KANWIL SURABAYA;AREA SURABAYA 2;CP WIYUNG;KONVEN;PENAKSIR;Skill Penaksir;100
