KANWIL;AREA;CABANG;KATEGORI;ASPEK;ELEMENT;SCORE
KANWIL MEDAN; AREA MEDAN 1;CP HELVETIA;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;85.71
KANWIL MEDAN; AREA MEDAN 2;CP PADANG BULAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL MEDAN; AREA MEDAN 1;CP MEDAN SUNGGAL;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL MEDAN; AREA MEDAN 1;CP KP LALANG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL MEDAN; AREA MEDAN 2;CPS SETIA BUDI;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL MEDAN; AREA MEDAN 1;CP MEDAN KARYA;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;90.71
KANWIL MEDAN; AREA MEDAN 1;CP MEDAN PETISAH;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL MEDAN; AREA MEDAN 2;CP PRINGGAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL MEDAN; AREA MEDAN 2;CP SETIA BUDI;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL MEDAN; AREA MEDAN 1;CP KRAKATAU;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;14.29
KANWIL MEDAN; AREA MEDAN 1;CP GAHARU;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL MEDAN; AREA MEDAN 2;CP SIMPANG LIMUN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL MEDAN; AREA MEDAN 1;CP PULO BRAYAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;90.71
KANWIL MEDAN; AREA MEDAN 2;CP MANDALA;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL MANADO; AREA SORONG;CP TIMIKA;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;110
KANWIL MANADO; AREA MANADO 2;CP AIRMADIDI;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;110
KANWIL MAKASAR; AREA KENDARI;CP RAHA;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL BANDUNG; AREA BANDUNG 2;CPS MAJALAYA;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;85.71
KANWIL PEKANBARU; AREA PADANG;CPS UJUNG GURUN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;14.29
KANWIL BALIKPAPAN; AREA BANJARMASIN;CP PALANGKARAYA;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL PALEMBANG; AREA PALEMBANG;CP JAKABARING;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL PALEMBANG; AREA PALEMBANG;CP KENTEN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL MAKASAR; AREA PALOPO;CP PASAR SENTRAL PALOPO;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL MAKASAR; AREA PALOPO;CP PALOPO;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL MAKASAR; AREA PALOPO;CPS L U W U;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL PALEMBANG; AREA PALEMBANG;CP PANGKAL PINANG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;76.43
KANWIL MAKASAR; AREA PARE-PARE;CP PARE PARE;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL SURABAYA; AREA PROBOLINGGO;CP PASURUAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;105
KANWIL SURABAYA; AREA PROBOLINGGO;CP PANDAAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;100
KANWIL SEMARANG; AREA TEGAL;CPS PONOLAWEN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;76.43
KANWIL SEMARANG; AREA TEGAL;CP PEKALONGAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;100
KANWIL PEKANBARU; AREA PEKANBARU;CP PEKANBARU KOTA;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL PEKANBARU; AREA PEKANBARU;CP PANAM;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;71.43
KANWIL PEKANBARU; AREA PEKANBARU;CP PANGKALAN KERINCI;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;105
KANWIL SEMARANG; AREA TEGAL;CP PEMALANG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL MAKASAR; AREA PARE-PARE;CP PINRANG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL MAKASAR; AREA PARE-PARE;CP WONOMULYO;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL MAKASAR; AREA PARE-PARE;CP POLEWALI;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL BALIKPAPAN; AREA PONTIANAK;CP SUNGAI JAWI;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL BALIKPAPAN; AREA PONTIANAK;CP KEMUNING;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;47.86
KANWIL BALIKPAPAN; AREA PONTIANAK;CP MEMPAWAH;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL PALEMBANG; AREA PALEMBANG;CP PRABUMULIH;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL SEMARANG; AREA PURWOKERTO;CP PURBALINGGA;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;71.43
KANWIL SEMARANG; AREA PATI;CP REMBANG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL SEMARANG; AREA SEMARANG;CP SALATIGA SELATAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL BALIKPAPAN; AREA SAMARINDA;CP MARTADINATA;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL BALIKPAPAN; AREA SAMARINDA;CP SAMARINDA SEBERANG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;76.43
KANWIL BALIKPAPAN; AREA SAMARINDA;CP SEMPAJA;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;76.43
KANWIL BALIKPAPAN; AREA SAMARINDA;CP SUNGAI PINANG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL SURABAYA; AREA PAMEKASAN;CPS SAMPANG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;85.71
KANWIL SURABAYA; AREA PAMEKASAN;CPS SAMPANG KOTA;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;90.71
KANWIL SURABAYA; AREA PAMEKASAN;UPS KETAPANG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;105
KANWIL MAKASAR; AREA BANTAENG;CP SELAYAR;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;100
KANWIL SEMARANG; AREA SEMARANG;CP KARANGTURI;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL SEMARANG; AREA SEMARANG;CPS KALIGARANG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL SEMARANG; AREA SEMARANG;CP PONCOL;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL SEMARANG; AREA SEMARANG;CP NGALIYAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL SEMARANG; AREA SEMARANG;CP KALIBANTENG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;47.86
KANWIL SEMARANG; AREA SEMARANG;CP BANYUMANIK;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL MEDAN; AREA MEDAN 2;CP PERBAUNGAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL SURABAYA; AREA SURABAYA 2;CP SEPANJANG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL SURABAYA; AREA SURABAYA 2;CPS SIDOARJO;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL SURABAYA; AREA SURABAYA 2;CP GEDANGAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL SURABAYA; AREA SURABAYA 2;CP SIDOARJO;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL DENPASAR; AREA ENDE;CP MAUMERE;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL MEDAN; AREA MEDAN 2;CP SERBALAWAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL BALIKPAPAN; AREA PONTIANAK;CP SINTANG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;33.57
KANWIL PEKANBARU; AREA PADANG;CP SOLOK;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL MAKASAR; AREA PARE-PARE;CP WATANSOPPENG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL MAKASAR; AREA PARE-PARE;CP CABENGE;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;14.29
KANWIL SEMARANG; AREA SURAKARTA;CP SRAGEN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;100
KANWIL DENPASAR; AREA ENDE;CP WAITABULA;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;100
KANWIL DENPASAR; AREA DOMPU;CP TALIWANG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL SURABAYA; AREA PAMEKASAN;CPS PAMOLOKAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL SURABAYA; AREA PAMEKASAN;CPS PRENDUAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;110
KANWIL SURABAYA; AREA PAMEKASAN;CPS SUMENEP;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;90.71
KANWIL SURABAYA; AREA SURABAYA 1;CP MULYOSARI;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL SURABAYA; AREA SURABAYA 1;CPS BLAURAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL SURABAYA; AREA SURABAYA 1;CPS BABAKAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL SURABAYA; AREA SURABAYA 2;CP MANUKAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL SURABAYA; AREA SURABAYA 1;CP BENTENG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;85.71
KANWIL SURABAYA; AREA SURABAYA 2;CP WIYUNG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;100
KANWIL SURABAYA; AREA SURABAYA 1;CP KALIANYAR;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL SURABAYA; AREA SURABAYA 1;CP BRATANG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;100
KANWIL SURABAYA; AREA SURABAYA 2;CP JEMURSARI;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;71.43
KANWIL SEMARANG; AREA SURAKARTA;CPS SOLO BARU;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL SEMARANG; AREA SURAKARTA;CP PURWOTOMO;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL SEMARANG; AREA SURAKARTA;CP COKRONEGARAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL SEMARANG; AREA SURAKARTA;CP GADING;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL BALIKPAPAN; AREA BANJARMASIN;CP TABALONG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;100
KANWIL DENPASAR; AREA DENPASAR;CP TABANAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;85.71
KANWIL MAKASAR; AREA MAKASAR 2;CP TAKALAR;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;95.71
KANWIL JAKARTA 2; AREA TANGERANG;CP KARAWACI;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL JAKARTA 2; AREA TANGERANG;CPS PASAR BABAKAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;71.43
KANWIL JAKARTA 2; AREA KALIDERES;CP KREO;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL JAKARTA 2; AREA CIRENDEU;CP PASAR CIPUTAT;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;90.71
KANWIL JAKARTA 2; AREA CIRENDEU;CP BINTARO SEKTOR 3;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL JAKARTA 2; AREA CIRENDEU;CP PAMULANG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;105
KANWIL JAKARTA 2; AREA TANGERANG;CP PASAR MODERN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL JAKARTA 2; AREA TANGERANG;CP SERPONG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;110
KANWIL JAKARTA 2; AREA TANGERANG;CP BSD CITY;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;100
KANWIL MEDAN; AREA RANTAU PRAPAT;CP TARUTUNG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL BALIKPAPAN; AREA TARAKAN;CP TARAKAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;85.71
KANWIL BALIKPAPAN; AREA TARAKAN;CPS TARAKAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL SEMARANG; AREA PURWOKERTO;CP TEMANGGUNG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;100
KANWIL MANADO; AREA MANADO 2;CP TERNATE;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;110
KANWIL MANADO; AREA MANADO 2;CPS TERNATE PELABUHAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;110
KANWIL MANADO; AREA MANADO 2;CP BASTIONG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;105
KANWIL DENPASAR; AREA KUPANG;CP SOE;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;14.29
KANWIL DENPASAR; AREA KUPANG;CP KEFAMENANU;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;85.71
KANWIL MANADO; AREA PALU;CP TOLITOLI;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL MANADO; AREA MANADO 2;CP TOMOHON;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL MAKASAR; AREA PALOPO;CP SENGKANG;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL MAKASAR; AREA PALOPO;CP PASAR MINI;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL SEMARANG; AREA SURAKARTA;CP WONOGIRI;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;85.71
KANWIL SEMARANG; AREA SURAKARTA;CP JATISRONO;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;105
KANWIL SEMARANG; AREA YOGYAKARTA;CP BASEN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL SEMARANG; AREA YOGYAKARTA;CPS KUSUMANEGARA;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL SEMARANG; AREA YOGYAKARTA;CP LEMPUYANGAN;cabang;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL MANADO; AREA GORONTALO;UPC PARIS MALL;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;14.29
KANWIL PALEMBANG; AREA LAMPUNG;UPC PASAR KLIWON;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;85.71
KANWIL PALEMBANG; AREA PALEMBANG;UPC OPI RAYA;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL SURABAYA; AREA PAMEKASAN;UPS LABANG;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL MEDAN; AREA MEDAN 2;UPC SEKSAMA;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL SURABAYA; AREA PAMEKASAN;UPS DIPONEGORO;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL MAKASAR; AREA PARE-PARE;UPC BARAKA;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL PALEMBANG; AREA JAMBI;UPC MANNA;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;105
KANWIL JAKARTA 2; AREA CIRENDEU;UPC PESANGGRAHAN;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;62.14
KANWIL MEDAN; AREA RANTAU PRAPAT;UPC ASAHAN;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL MANADO; AREA SORONG;UPC WASIOR;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;90.71
KANWIL MAKASAR; AREA KENDARI;UPC LAWATA;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL MAKASAR; AREA MAKASAR 2;UPC TODDOPULI BARU;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL MAKASAR; AREA PALOPO;UPC ATAPANGE;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL BALIKPAPAN; AREA BANJARMASIN;UPC GUNUNG MAS;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL JAKARTA 2; AREA TANJUNG PRIUK;UPS BANGUN CIPTA SARANA;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;62.14
KANWIL DENPASAR; AREA DOMPU;UPS TAMAN KOTA;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;90.71
KANWIL MANADO; AREA PALU;UPC PANASAKAN;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL MANADO; AREA JAYAPURA;UPC KOTA BARU;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;110
KANWIL MAKASAR; AREA PALOPO;UPC SABANG PARU;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL BALIKPAPAN; AREA SAMARINDA;UPC PASAR MANGKURAWANG;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL PEKANBARU; AREA PEKANBARU;UPC SOREK;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;14.29
KANWIL JAKARTA 1; AREA SENEN;UPS TAMAN SOLO GAJAH MADA;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL MANADO; AREA MANADO 2;UPC KAO;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;62.14
KANWIL BANDUNG; AREA CIREBON;UPS KARANGSINOM;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL BALIKPAPAN; AREA BALIKPAPAN;UPC BONTO BULAENG;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL DENPASAR; AREA AMPENAN;UPS PRINGGARATA;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;110
KANWIL BALIKPAPAN; AREA TARAKAN;UPC PASAR GAYAM;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;14.29
KANWIL PEKANBARU; AREA BATAM;UPC DABO SINGKEP;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL PEKANBARU; AREA PADANG;UPC LINTAU;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL MANADO; AREA MANADO 1;UPC BAILANG;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL JAKARTA 2; AREA TANGERANG;UPS MALABAR;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;85.71
KANWIL MAKASAR; AREA MAKASAR 1;UPC PARUMPA;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL SURABAYA; AREA SURABAYA 1;UPS SUCI;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL JAKARTA 1; AREA BOGOR;UPS PONDOK DUTA;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL MANADO; AREA GORONTALO;UPS  PASAR SERASI;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;62.14
KANWIL MAKASAR; AREA BANTAENG;UPC PASAR SENTRAL BULUKUMBA;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;105
KANWIL MEDAN; AREA MEDAN 1;UPC BRASTAGI;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL BANDUNG; AREA BANDUNG 1;UPS KEBON KOPI;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL MAKASAR; AREA AMBON;UPC PANGKALAN;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;95.71
KANWIL JAKARTA 1; AREA KRAMATJATI;UPS EMPAT DELAPAN;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;71.43
KANWIL SEMARANG; AREA PATI;UPS PASAR BINTORO DEMAK;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;71.43
KANWIL DENPASAR; AREA DENPASAR 2;UPS NANGKA;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;85.71
KANWIL JAKARTA 2; AREA CIRENDEU;UPS PONDOK CABE;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;85.71
KANWIL SEMARANG; AREA TEGAL;UPS WARUNGASEM;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL BANDUNG; AREA BANDUNG 2;UPS GRIYA PLERED INDAH;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;57.14
KANWIL SURABAYA; AREA PROBOLINGGO;UPS UNTUNG SUROPATI;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;100
KANWIL SEMARANG; AREA SEMARANG;UPS KENDAL PERMAI;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL SEMARANG; AREA SURAKARTA;UPS PASAR DELANGGU KERTEN;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;85.71
KANWIL DENPASAR; AREA DENPASAR;UPS AYANI;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL JAKARTA 2; AREA KALIDERES;UPS CITRA NIAGA;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL JAKARTA 1; AREA JATIWARINGIN;UPS PERJUANGAN BARU;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL SURABAYA; AREA MALANG;UPS PSR GADANG;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL JAKARTA 2; AREA KEBAYORAN BARU;UPS SILIWANGI;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL SEMARANG; AREA PURWOKERTO;UPS PSR SANGKAL PUTUNG;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57
KANWIL SEMARANG; AREA YOGYAKARTA;UPS PASAR TELLO;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;90.71
KANWIL BANDUNG; AREA TASIKMALAYA;UPS  AHMAD DAHLAN;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.86
KANWIL JAKARTA 1; AREA BEKASI;UPS KARTINI;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;71.42857143
KANWIL SURABAYA; AREA SURABAYA 2;UPS KARANGPILANG;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;42.85714286
KANWIL SURABAYA; AREA JEMBER;UPS PASAR TANJUNG;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;28.57142857
KANWIL SURABAYA; AREA MADIUN;UPS JOMBANG;upc;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;85.71428571
KANWIL BALIKPAPAN; AREA PONTIANAK;BRI UNIT BATU BUIL SINTANG;collocation;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;0
KANWIL BALIKPAPAN; AREA BANJARMASIN;BRI UNIT KERENG PANGI PALANGKA;collocation;PENGELOLA AGUNAN;Sikap Saat Mengakhiri Pelayanan;0
