REGION;AREA;CABANG;TIPE;Total Skor ;Total Satpam (KONDISI 1);Total Keberadaan Satpam;Total Penaksir (KONDISI 1);Total Kasir (KONDISI 1)
KANWIL DENPASAR;AREA DENPASAR;CP HARDYS;KONVEN;81;86,81;100;75;75,54
KANWIL DENPASAR;AREA ENDE;CP LABUAN BAJO;KONVEN;67;54,86;50;66,19;75,52
KANWIL DENPASAR;AREA DENPASAR;CP RENON;KONVEN;93;96,94;100;95,83;91,79
KANWIL DENPASAR;AREA ENDE;CP WAIKABUBAK;KONVEN;79;86,81;100;56,94;82,82
KANWIL DENPASAR;AREA DENPASAR;CP JIMBARAN;KONVEN;75;100;100;75;66,09
KANWIL DENPASAR;AREA ENDE;CP WAITABULA;KONVEN;84;84,17;100;76,39;84,17
KANWIL DENPASAR;AREA ENDE;CP LARANTUKA;KONVEN;72;70,83;50;69,37;71,29
KANWIL MAKASAR;AREA BANTAENG;CP WATAMPONE;KONVEN;74;79,72;75;70,56;70,02
KANWIL SURABAYA;AREA MALANG;CP BLIMBING;KONVEN;79;81,67;100;83,57;81,51
KANWIL SURABAYA;AREA MADIUN;CP MADIUN;KONVEN;96;98,61;100;100;93,39
KANWIL SURABAYA;AREA SURABAYA 1;CP WONOKROMO;KONVEN;68;90,97;100;62,5;63,83
KANWIL SURABAYA;AREA MALANG;CP KEPANJEN;KONVEN;80;90,28;100;88,89;81,98
KANWIL SURABAYA;AREA JEMBER;CP JEMBER;KONVEN;88;100;100;93,06;89,21
KANWIL SURABAYA;AREA MADIUN;CP MAGETAN;KONVEN;93;93,75;100;100;90,67
KANWIL SURABAYA;AREA MALANG;CP TUREN;KONVEN;75;90,28;100;75;67,54
KANWIL SURABAYA;AREA MALANG;CPS LANDUNGSARI;SYARIAH;84;100;100;86,11;75,65
KANWIL DENPASAR;AREA ENDE;CP RUTENG;KONVEN;82;87,92;100;72,14;82,86
KANWIL SURABAYA;AREA MADIUN;CP NGAWI;KONVEN;95;100;100;100;94,01
KANWIL SURABAYA;AREA SURABAYA 2;CP WIYUNG;KONVEN;86;88,06;100;97,22;78,35
KANWIL SEMARANG;AREA SEMARANG;CP BANYUMANIK;KONVEN;79;79,58;100;86,11;81,63
KANWIL SURABAYA;AREA MADIUN;CP NGANJUK;KONVEN;77;81,25;100;68,06;80,12
KANWIL DENPASAR;AREA DENPASAR;CP GATOT SUBROTO;SYARIAH;86;96,67;100;86,11;82,46
KANWIL SURABAYA;AREA SURABAYA 2;CP JEMURSARI;KONVEN;83;95,83;100;75;76,75
KANWIL BALIKPAPAN;AREA PONTIANAK;CP SIANTAN;KONVEN;78;87,78;100;75;79,96
KANWIL BALIKPAPAN;AREA BANJARMASIN;CP BARABAI;KONVEN;62;77,78;75;47,98;71,43
KANWIL BALIKPAPAN;AREA BANJARMASIN;CP TABALONG;KONVEN;72;90,97;100;74,92;70,32
KANWIL BALIKPAPAN;AREA BANJARMASIN;CP BATU LICIN;KONVEN;77;93,75;100;80,56;73,79
KANWIL BALIKPAPAN;AREA SAMARINDA;CP SUNGAI PINANG;KONVEN;84;93,33;100;85;79,76
KANWIL BALIKPAPAN;AREA PONTIANAK;CP JERUJU;KONVEN;72;81,94;100;54,76;70,06
KANWIL BALIKPAPAN;AREA SAMARINDA;CPS PASAR MERDEKA;SYARIAH;86;98,33;100;95,24;70,24
KANWIL BALIKPAPAN;AREA PONTIANAK;CP KEMUNING;KONVEN;96;100;100;97,62;93,73
KANWIL BALIKPAPAN;AREA PONTIANAK;CP PONTIANAK;KONVEN;94;91,67;100;100;93,39
KANWIL BALIKPAPAN;AREA PONTIANAK;CP SUNGAI RAYA;KONVEN;77;81,25;100;72,22;63,27
KANWIL BALIKPAPAN;AREA PONTIANAK;CP SUNGAI JAWI;KONVEN;80;79,17;50;80,24;90,12
KANWIL BALIKPAPAN;AREA SAMARINDA;CP SAMARINDA;KONVEN;89;95,83;100;91,67;80,38
KANWIL BALIKPAPAN;AREA SAMARINDA;CP TENGGARONG;KONVEN;82;96,94;100;77,18;83,35
KANWIL BALIKPAPAN;AREA BANJARMASIN;CPS KEBUN BUNGA;SYARIAH;78;68,61;100;68,33;82,54
KANWIL BALIKPAPAN;AREA BANJARMASIN;CP BANJARBARU;KONVEN;79;96,67;100;77,86;71,27
KANWIL BALIKPAPAN;AREA PONTIANAK;CP SINTANG;KONVEN;78;46,53;50;81,94;80,26
KANWIL BALIKPAPAN;AREA PONTIANAK;CP SANGGAU;KONVEN;74;86,67;100;69,44;63,21
KANWIL BALIKPAPAN;AREA SAMARINDA;CP AIR PUTIH;KONVEN;88;90;100;86,11;86,98
KANWIL BALIKPAPAN;AREA BANJARMASIN;CP KAYU TANGI;KONVEN;74;57,22;100;69,09;77,68
KANWIL BALIKPAPAN;AREA TARAKAN;CP BONTANG;KONVEN;83;83,33;75;90,28;75,18
KANWIL BALIKPAPAN;AREA TARAKAN;CPS BONTANG;SYARIAH;77;79,86;75;81,19;79,7
KANWIL BALIKPAPAN;AREA TARAKAN;CP SANGGATTA;KONVEN;78;86,81;100;79,64;79,13
KANWIL BALIKPAPAN;AREA PONTIANAK;CP KETAPANG;KONVEN;76;86,25;100;73,61;82,76
KANWIL BALIKPAPAN;AREA PONTIANAK;CP SINGKAWANG;KONVEN;59;77,5;100;68,73;49,88
KANWIL BALIKPAPAN;AREA BALIKPAPAN;CP KAMPUNG BARU;KONVEN;84;89,17;75;88,33;75,71
KANWIL BALIKPAPAN;AREA BALIKPAPAN;CP MANGGAR;KONVEN;76;87,22;100;84,72;64,05
KANWIL BALIKPAPAN;AREA BALIKPAPAN;CP DAMAI;KONVEN;85;80,56;100;90,12;81,07
KANWIL BALIKPAPAN;AREA SAMARINDA;CP SEMPAJA;KONVEN;89;95,83;100;94,44;82,2
KANWIL BALIKPAPAN;AREA BALIKPAPAN;CP BALIKPAPAN BARU;KONVEN;80;94,17;100;90,28;71,19
KANWIL BALIKPAPAN;AREA BALIKPAPAN;CP GUNUNG KAWI;KONVEN;74;95,83;100;81,94;68
KANWIL BALIKPAPAN;AREA BALIKPAPAN;CP RAPAK;KONVEN;75;91,94;100;80,56;63,06
KANWIL BALIKPAPAN;AREA BALIKPAPAN;CP BATU AMPAR;KONVEN;75;82,92;100;77,78;61,09
KANWIL BALIKPAPAN;AREA BALIKPAPAN;CPS GUNUNG SARI;SYARIAH;81;86,94;75;80,56;76,98
KANWIL BALIKPAPAN;AREA PONTIANAK;CP MEMPAWAH;KONVEN;80;81,81;75;81,23;80,71
KANWIL BALIKPAPAN;AREA SAMARINDA;CP LOA JANAN;KONVEN;81;72,22;75;81,94;79,35
KANWIL BALIKPAPAN;AREA TARAKAN;CP TANJUNG SELOR;KONVEN;85;84,03;100;91,67;84,82
KANWIL BALIKPAPAN;AREA BALIKPAPAN;CP BALIKPAPAN;KONVEN;80;100;100;79,17;69,82
KANWIL BALIKPAPAN;AREA BALIKPAPAN;CP PENAJAM;KONVEN;71;87,5;100;69,44;66,27
KANWIL BALIKPAPAN;AREA TARAKAN;CP MALINAU;KONVEN;86;88,33;100;94,44;81,23
KANWIL BALIKPAPAN;AREA TARAKAN;CP NUNUKAN;KONVEN;88;93,75;100;79,17;89,48
KANWIL BALIKPAPAN;AREA PONTIANAK;CPS AHMAD YANI;SYARIAH;86;79,58;100;97,62;74,52
KANWIL BALIKPAPAN;AREA BANJARMASIN;CP SAMPIT;KONVEN;75;69,25;100;65,28;91,71
KANWIL BALIKPAPAN;AREA BANJARMASIN;CP TELUK DALAM;KONVEN;67;79,44;100;63,41;69,82
KANWIL BALIKPAPAN;AREA BANJARMASIN;CP BANJARMASIN;KONVEN;70;92,36;100;40,44;68,35
KANWIL BALIKPAPAN;AREA BALIKPAPAN;CP TANAH GROGOT;KONVEN;72;85;100;63,89;66,55
KANWIL BALIKPAPAN;AREA SAMARINDA;CP SAMARINDA SEBERANG;KONVEN;86;92,36;100;84,72;83,87
KANWIL BALIKPAPAN;AREA TARAKAN;CP TANJUNG REDEB;KONVEN;82;83,06;100;72,22;83,45
KANWIL BALIKPAPAN;AREA SAMARINDA;CP MELAK;KONVEN;62;78,33;100;59,09;57,02
KANWIL SEMARANG;AREA SEMARANG;CP DEPOK;KONVEN;87;85;100;91,9;80,08
KANWIL SEMARANG;AREA PATI;CP DEMAK;KONVEN;97;92,78;100;100;96,31
KANWIL MANADO;AREA GORONTALO;CP KOTAMOBAGU;KONVEN;83;88,61;100;82,78;77,46
KANWIL MANADO;AREA MANADO 1;CP KARUMBASAN;KONVEN;94;100;100;84,72;91,79
KANWIL MANADO;AREA MANADO 1;CP TOMOHON;KONVEN;93;95,83;100;90,28;91,87
KANWIL MANADO;AREA MANADO 1;CP MANADO TIMUR;KONVEN;84;90,83;50;86,11;76,9
KANWIL MANADO;AREA MANADO 1;CP MALALAYANG;KONVEN;88;89,72;100;91,67;87,34
KANWIL MANADO;AREA PALU;CP TALISE;KONVEN;87;92,78;100;88,89;89,96
KANWIL MANADO;AREA PALU;CPS PALU PLASA;SYARIAH;89;96,94;100;91,67;91,92
KANWIL MANADO;AREA MANADO 1;CP BITUNG;KONVEN;95;91,67;100;95,83;93,37
KANWIL MANADO;AREA MANADO 1;CP GIRIAN;KONVEN;87;94,17;100;88,69;83,41
KANWIL MANADO;AREA SORONG;CPS KLADEMAK;SYARIAH;96;96,94;100;100;91,23
KANWIL MANADO;AREA PALU;CP PALU BARAT;KONVEN;84;94,44;100;85,36;82,68
KANWIL MANADO;AREA PALU;CP PALU SELATAN;KONVEN;80;78,89;100;79,17;87,2
KANWIL MANADO;AREA PALU;CP PALU TIMUR;KONVEN;85;85,83;100;75,83;90
KANWIL MANADO;AREA MANADO 1;CP MEGA MAS;KONVEN;88;86,67;50;91,67;86,07
KANWIL MANADO;AREA MANADO 1;CP TERNATE;KONVEN;87;87,22;100;91,07;82,6
KANWIL MANADO;AREA GORONTALO;CPS DATOE BINANGKANG;SYARIAH;78;88,61;100;66,67;79,6
KANWIL MANADO;AREA GORONTALO;CP MOLINOW;KONVEN;71;77,36;100;72,22;75,44
KANWIL MANADO;AREA SORONG;CP BOSWESEN;KONVEN;88;85,56;100;94,44;89,13
KANWIL MANADO;AREA GORONTALO;CP GORONTALO UTARA;KONVEN;88;94,44;75;82,02;88,81
KANWIL MANADO;AREA SORONG;CP SORONG;KONVEN;87;88,61;100;94,44;87,1
KANWIL MANADO;AREA GORONTALO;CP GORONTALO SENTRAL;KONVEN;92;95,83;100;80,95;97,78
KANWIL MANADO;AREA MANADO 1;CP BASTIONG;KONVEN;87;88,61;100;93,06;79,48
KANWIL MANADO;AREA GORONTALO;CP GORONTALO SELATAN;KONVEN;90;98,33;100;93,06;92,74
KANWIL MANADO;AREA MANADO 1;CP AMURANG;KONVEN;93;95,83;100;90,67;92,34
KANWIL MANADO;AREA PALU;CP PARIGI;KONVEN;80;92,5;100;87,5;68,85
KANWIL MANADO;AREA JAYAPURA;CP SENTANI;KONVEN;83;98,33;100;75;75,79
KANWIL MANADO;AREA JAYAPURA;CP BHAYANGKARA;KONVEN;85;93,75;100;87,5;85,46
KANWIL MANADO;AREA SORONG;CP FAK FAK;KONVEN;87;91,39;100;92,86;85,56
KANWIL MANADO;AREA JAYAPURA;CP ABEPURA;KONVEN;84;94,17;100;93,06;76,57
KANWIL MANADO;AREA JAYAPURA;CP BIAK;KONVEN;87;93,33;100;91,9;87,66
KANWIL MANADO;AREA PALU;CP POSO;KONVEN;75;90;100;87,78;70,65
KANWIL MANADO;AREA SORONG;CP TIMIKA;KONVEN;85;86,67;100;94,44;85,24
KANWIL MANADO;AREA SORONG;CP MANOKWARI;KONVEN;86;92,78;100;92,86;85,63
KANWIL MANADO;AREA MANADO 1;CP AIRMADIDI;KONVEN;81;75;100;90,28;73,41
KANWIL MANADO;AREA JAYAPURA;CP MERAUKE;KONVEN;80;92,22;100;91,67;84,6
KANWIL MANADO;AREA MANADO 1;CP TUMINTING;KONVEN;71;92,5;75;69,52;69,25
KANWIL MANADO;AREA JAYAPURA;CP JAYAPURA;KONVEN;71;84,72;75;75,08;70,04
KANWIL MANADO;AREA SORONG;CP NABIRE;KONVEN;86;89,72;100;92,86;85,5
KANWIL MANADO;AREA GORONTALO;CP LIMBOTO;KONVEN;94;91,94;75;97,22;94,29
KANWIL MANADO;AREA MANADO 1;CP LANGOWAN;KONVEN;81;97,92;100;75;78
KANWIL MANADO;AREA MANADO 1;CPS TERNATE PELABUHAN;SYARIAH;85;87,64;100;87,5;82,8
KANWIL MANADO;AREA GORONTALO;CPS GORONTALO;SYARIAH;91;95,83;100;77,78;94,76
KANWIL MANADO;AREA JAYAPURA;CPS AMPERA JAYAPURA;SYARIAH;81;95,83;100;81,75;71,9
KANWIL MANADO;AREA MANADO 1;CP TAHUNA;KONVEN;99;100;100;97,62;98,33
KANWIL MANADO;AREA GORONTALO;CP LUWUK;KONVEN;93;98,61;100;97,22;91,59
KANWIL MANADO;AREA MANADO 1;CP MANADO UTARA;KONVEN;87;83,61;50;87,5;88,1
KANWIL MANADO;AREA MANADO 1;CPS ISTIQLAL;SYARIAH;88;98,61;100;74,09;92,7
KANWIL JAKARTA 2;AREA KEBAYORAN BARU;CP RADIO DALAM;KONVEN;81;88,19;100;87,9;78,85
KANWIL JAKARTA 2;AREA TANGERANG;CPS PASAR BABAKAN;SYARIAH;83;64,03;100;92,5;88,57
KANWIL JAKARTA 2;AREA CIRENDEU;CP PONDOK PINANG;KONVEN;75;93,89;100;71,63;68,55
KANWIL JAKARTA 2;AREA TANGERANG;CP TANGERANG;KONVEN;70;81,11;100;73,45;60,08
KANWIL JAKARTA 2;AREA TANGERANG;CP PANDEGLANG;KONVEN;71;79,86;100;68,06;65,71
KANWIL JAKARTA 2;AREA TANGERANG;CP CILEGON;KONVEN;68;61,44;75;85,52;55
KANWIL JAKARTA 2;AREA KALIDERES;CP KARANG TENGAH;KONVEN;68;69,58;100;58,33;75,1
KANWIL JAKARTA 2;AREA KEBAYORAN BARU;CP CILANDAK;KONVEN;75;92,36;100;79,17;80,12
KANWIL JAKARTA 2;AREA CIRENDEU;CPS CINERE;SYARIAH;74;90,28;100;83,33;76,55
KANWIL JAKARTA 2;AREA KALIDERES;CP KREO;KONVEN;80;96,94;100;83,33;81,63
KANWIL JAKARTA 2;AREA CIRENDEU;CPS PONDOK AREN;SYARIAH;81;90,5;100;70,83;88,29
KANWIL JAKARTA 2;AREA CIRENDEU;CP BINTARO SEKTOR 3;KONVEN;79;96,94;100;79,17;86,49
KANWIL JAKARTA 2;AREA TANGERANG;CP CIKUPA;KONVEN;55;46,67;100;67,18;48,97
KANWIL JAKARTA 2;AREA TANJUNG PRIUK;CP KELAPA GADING;KONVEN;77;82,08;100;87,5;57,46
KANWIL JAKARTA 2;AREA TANJUNG PRIUK;CP BOULEVARD;KONVEN;87;93,47;100;88,89;82,96
KANWIL JAKARTA 2;AREA TANGERANG;CP SERPONG;KONVEN;78;96,94;100;65,28;67,74
KANWIL JAKARTA 2;AREA TANJUNG PRIUK;CPS KELAPA GADING;SYARIAH;87;90,28;100;91,67;83,41
KANWIL JAKARTA 2;AREA TANJUNG PRIUK;CP TANJUNG PRIOK;KONVEN;82;78,47;50;91,67;78,51
KANWIL JAKARTA 2;AREA CIRENDEU;CP CIRENDEU;KONVEN;77;77,5;100;87,5;84,54
KANWIL JAKARTA 2;AREA CIRENDEU;CP CIPUTAT;KONVEN;89;92,78;100;91,67;85,79
KANWIL JAKARTA 2;AREA CIRENDEU;CP PASAR CIPUTAT;KONVEN;82;86,67;100;84,72;81,57
KANWIL JAKARTA 2;AREA CIRENDEU;CP PAMULANG;KONVEN;76;73,33;50;83,33;82,04
KANWIL JAKARTA 2;AREA TANJUNG PRIUK;CP MALL ARTHA GADING;KONVEN;81;80,83;100;83,73;87,46
