REGION;AREA;CABANG;TIPE;Total Skor ;Total Satpam (KONDISI 1);Total Keberadaan Satpam;Total Penaksir (KONDISI 1);Total Kasir (KONDISI 1)
KANWIL PEKANBARU;AREA PADANG;CP TERANDAM;KONVEN;66;83,47;100;81,94;61,29
KANWIL PEKANBARU;AREA PADANG;CP ULAK KARANG;KONVEN;66;89,44;100;76,39;47,24
KANWIL PEKANBARU;AREA PADANG;CP TAPI BANDAR;KONVEN;71;87,22;100;72,22;79,62
KANWIL PEKANBARU;AREA PADANG;CPS UJUNG GURUN;SYARIAH;71;95,83;100;62,5;50,52
KANWIL PEKANBARU;AREA BATAM;CP NATUNA;KONVEN;74;87,78;100;58,33;77,74
KANWIL MEDAN;AREA RANTAU PRAPAT;CP RANTAU PRAPAT;KONVEN;74;100;100;69,44;80,52
KANWIL BANDUNG;AREA BANDUNG 2;CP METRO;KONVEN;95;95,83;100;95,83;93,31
KANWIL MEDAN;AREA MEDAN 1;CP MEDAN KARYA;KONVEN;76;96,67;100;69,68;67,94
KANWIL MEDAN;AREA BANDA ACEH;CPS KEUTAPANG;SYARIAH;68;92,36;100;68,06;52,58
KANWIL BALIKPAPAN;AREA SAMARINDA;CP MARTADINATA;KONVEN;86;93,75;75;80,56;84,68
KANWIL BALIKPAPAN;AREA BANJARMASIN;CP PALANGKARAYA;KONVEN;63;82,78;100;48,57;55,75
KANWIL BALIKPAPAN;AREA TARAKAN;CP TARAKAN;KONVEN;88;83,75;100;100;93,45
KANWIL MANADO;AREA PALU;CP TOLITOLI;KONVEN;55;50,83;50;60,48;34,29
KANWIL MANADO;AREA MANADO 1;CP MANADO SELATAN;KONVEN;90;94,17;100;94,44;89,01
KANWIL JAKARTA 2;AREA TANGERANG;CP SERANG;KONVEN;72;61,11;75;91,67;61,81
KANWIL MAKASAR;AREA AMBON;CPS AMBON;SYARIAH;81;93,06;100;74,68;79,35
KANWIL BALIKPAPAN;AREA TARAKAN;CPS TARAKAN;SYARIAH;93;95,83;100;100;88,69
KANWIL JAKARTA 2;AREA KEBAYORAN BARU;CP PASAR RUMPUT;KONVEN;85;78,61;100;93,06;88,31
KANWIL JAKARTA 2;AREA KALIDERES;CP CENGKARENG;KONVEN;92;90;100;97,22;90,4
KANWIL SEMARANG;AREA SEMARANG;CP KARANGTURI;KONVEN;87;86,67;100;89,13;95,95
KANWIL BALIKPAPAN;AREA BANJARMASIN;CP PANGKALAN BUN;KONVEN;63;78,61;100;53,37;58,1
KANWIL MAKASAR;AREA BANTAENG;CP SINJAI;KONVEN;69;82,08;100;66,67;66,75
KANWIL PALEMBANG;AREA PALEMBANG;CP TANJUNG PANDAN;KONVEN;82;92,78;100;89,52;82,78
